continent,country_name,iso3c,taxa,year,n_by_country_taxa,n_by_country,centroid_lon,centroid_lat
Asia,Bahrain,BHR,Mammal,2003,1,2,50.55,26
Americas,Venezuela,VEN,Fish,2003,21,78,-66.166,7.125
Europe,Italy,ITA,Echinoderms,2003,3,19444,10.44,44.931
Oceania,Solomon Islands,SLB,Amphibian,2003,9,2278,159,-8
Oceania,Australia,AUS,Coral,2003,12,1447,133,-27
Europe,Lithuania,LTU,Mammal,2003,3,8,24,56
Asia,Syria,SYR,Reptile,2003,10,13,38,35
Asia,United Arab Emirates,ARE,Shell,2003,1,67,54,24
Asia,Pakistan,PAK,Echinoderms,2003,1,63,70,30
Americas,Honduras,HND,Bird,2003,2,562,-86.5,15
Asia,United Arab Emirates,ARE,Fish,2003,3,67,54,24
Africa,Guinea-Bissau,GNB,Fish,2003,1,1,-15,12
Asia,United Arab Emirates,ARE,Bird,2003,10,67,54,24
Oceania,Guam,GUM,Crustacean,2003,1,7,144.707,13.385
Americas,Guatemala,GTM,Coral,2003,1,255,-90.25,15.5
Americas,Venezuela,VEN,Bird,2003,1,78,-66.166,7.125
Africa,Comoros,COM,Mammal,2003,2,8,44.25,-12.1666666667
Africa,Gabon,GAB,Mammal,2003,16,51,11.797,-0.591
Americas,Dominica,DMA,Mammal,2003,1,5,-61.3333333333,15.4166666667
Africa,Tunisia,TUN,Shell,2003,1,1,9,34
Asia,Laos,LAO,Insect,2003,1,76,102.471,19.905
Europe,United Kingdom,GBR,Spider,2003,44,6395,-2,54
Europe,Estonia,EST,Bird,2003,1,2,25.793,58.674
Europe,Norway,NOR,Fish,2003,5,60,8.74,61.152
Americas,Belize,BLZ,Mammal,2003,3,264,-88.602,17.219
Americas,Uruguay,URY,Shell,2003,3,259,-56.012,-32.8
Oceania,New Zealand,NZL,Spider,2003,1,2548,174,-41
Oceania,Cook Islands,COK,Other,2003,2,107,-159.766666667,-21.2333333333
Europe,Slovakia,SVK,Shell,2003,1,108,19.5,48.6666666667
Europe,Slovakia,SVK,Bird,2003,1,108,19.5,48.6666666667
Africa,Togo,TGO,Fish,2003,4,503,1.081,8.799
Asia,Pakistan,PAK,Reptile,2003,10,63,70,30
Africa,Mauritius,MUS,Shell,2003,9,53,57.583,-20.255
Africa,Mozambique,MOZ,Mammal,2003,46,150,37.923,-14.422
Africa,Uganda,UGA,Mammal,2003,9,102,32,1
Europe,Russia,RUS,Amphibian,2003,9,747,100,60
Asia,Iraq,IRQ,Other,2003,2,38,44,33
Asia,Iraq,IRQ,Coral,2003,34,38,44,33
Africa,Benin,BEN,Crustacean,2003,1,165,2.25,9.5
Europe,Spain,ESP,Spider,2003,1,3208,-3.649,40.227
Americas,Brazil,BRA,Mammal,2003,17,1367,-53.089,-10.772
