SPEC_CODE,C,O,F,Genus,Species,Subspecies,Common.Specific.1,Common.General.1,Taxa
CHM?,A,AU,RH,CHIROMANTIS,SPECIES, ,FOAM-NEST TREE,FROG,AMPHIBIAN
CLUS,A,CX,SL,CHIOGLOSSA,LUSITANICA, ,GOLD-STRIPED,SALAMANDER,AMPHIBIAN
CMNR,A,AU,MI,COPIULA,MINOR,,MILNE BAY MEHELY,FROG,AMPHIBIAN
CMRC,A,AU,DN,COLOSTETHUS,MARCHESIANUS,,DULL ROCKET,FROG,AMPHIBIAN
CNCR,A,AU,RD,CONRAUA,CRASSIPES,,ABO SLIPPERY,FROG,AMPHIBIAN
CNP?,A,CX,SL,CYNOPS,SPECIES, ,FIREBELLY,NEWT,AMPHIBIAN
COLL,A,AU,RD,CONRAUA,ALLENI,,ALLEN'S SLIPPERY,FROG,AMPHIBIAN
COLT,A,AU,DN,COLOSTETHUS,TRILINEATUS,,3-STRIPED ROCKET,FROG,AMPHIBIAN
CONR,A,AU,RD,CONRAUA,ROBUSTA,,CAMEROON SLIPPERY,FROG,AMPHIBIAN
COXY,A,AU,MI,COPIULA,OXYRHINA,,MISIMA ISL. MEHELY,FROG,AMPHIBIAN
CPIE,A,AU,LE,CHACOPHRYS,PIEROTTI,,CHACO HORNED,FROG,AMPHIBIAN
CRF?,A,AU,DN,COLOSTETHUS,SPECIES, ,ROCKET,FROG,AMPHIBIAN
CRGR,A,AU,HP,CRYPTOTHYLAX,GRESHOFFII,,GRESHOFF'S WAX,FROG,AMPHIBIAN
CRTL,A,AU,MI,CHOEROPHRYNE,ROSTELLIFER,,TORRICELLI MT.,FROG,AMPHIBIAN
CRY#,A,CX,CF,CRYPTOBRANCHIDAE, , , ,GIANT SALAMANDERS,AMPHIBIAN
CRYA,A,CX,CF,CRYPTOBRANCHUS,ALLEGANIENSIS,,,HELLBENDER,AMPHIBIAN
CSPS,A,AU,CE,COCHRANELLA,SPINOSA,,SPINY COCHRAN,FROG,AMPHIBIAN
CTL?,A,AU,CE,CENTROLENE,SPECIES,,GIANT GLASS,FROG,AMPHIBIAN
